Block Group,Median Age,Male Median Age,Female Median Age
"Block Group 2, Census Tract 5029.02, Santa Clara County, California",40,38.4,40.2
"Block Group 3, Census Tract 5029.02, Santa Clara County, California",38.2,38,38.3
"Block Group 2, Census Tract 5029.06, Santa Clara County, California",38.2,38.5,37.6
"Block Group 2, Census Tract 5029.08, Santa Clara County, California",41.2,37.3,42.6
"Block Group 3, Census Tract 5029.08, Santa Clara County, California",38.2,38,46
"Block Group 2, Census Tract 5029.09, Santa Clara County, California",47.4,46.3,48.3
"Block Group 3, Census Tract 5030.03, Santa Clara County, California",38.7,33.2,48.1
"Block Group 2, Census Tract 5068.01, Santa Clara County, California",53.6,54,53.5
"Block Group 1, Census Tract 5068.02, Santa Clara County, California",38.2,38.1,39.1
"Block Group 2, Census Tract 5068.02, Santa Clara County, California",40.3,42.5,32.7
"Block Group 3, Census Tract 5068.02, Santa Clara County, California",42,36.3,42.4
"Block Group 4, Census Tract 5068.02, Santa Clara County, California",43.7,43.4,44.6
"Block Group 5, Census Tract 5068.02, Santa Clara County, California",40.8,40,41.8
"Block Group 2, Census Tract 5068.03, Santa Clara County, California",43.5,42.8,44
"Block Group 3, Census Tract 5068.03, Santa Clara County, California",36.8,36.3,39.2
"Block Group 4, Census Tract 5068.03, Santa Clara County, California",34.2,35,32.5
"Block Group 1, Census Tract 5119.07, Santa Clara County, California",41.9,46.3,39.6
"Block Group 2, Census Tract 5119.07, Santa Clara County, California",43.2,40.3,43.6
"Block Group 1, Census Tract 5119.10, Santa Clara County, California",52.6,48,53.7
"Block Group 1, Census Tract 5119.11, Santa Clara County, California",41.4,41.3,41.5
"Block Group 3, Census Tract 5119.11, Santa Clara County, California",55.4,56.6,49.9
"Block Group 1, Census Tract 5119.13, Santa Clara County, California",54,54.7,53.1
"Block Group 2, Census Tract 5119.13, Santa Clara County, California",43.6,41.5,44.5
"Block Group 3, Census Tract 5119.13, Santa Clara County, California",43.3,42.8,43.8
"Block Group 3, Census Tract 5119.14, Santa Clara County, California",46.1,44.5,47.3
"Block Group 1, Census Tract 5119.15, Santa Clara County, California",40.4,37.2,41
"Block Group 2, Census Tract 5119.15, Santa Clara County, California",25.2,22.5,30.3
"Block Group 1, Census Tract 5119.16, Santa Clara County, California",34.9,37.8,33.6
"Block Group 2, Census Tract 5119.16, Santa Clara County, California",44.2,42.7,46.4
"Block Group 2, Census Tract 5120.24, Santa Clara County, California",37.8,36.5,38.1
"Block Group 1, Census Tract 5120.27, Santa Clara County, California",45.6,36.9,51.1
"Block Group 1, Census Tract 5120.52, Santa Clara County, California",45.8,46,45.1
