,County,Registered Voters,Ballots Cast,A_Total _Votes,R_Total_Votes,AR_Total,Share_vote,A_share,R_share,cbg,Median Age,Male Median Age,Female Median Age,White,Black,Indian and Alaska,Asian,Pacific,Other,Two races,Two or more,Total educated number,Less than 9th,9th to 12th,High schoo,College no degree,Associate,Bachelor,Graduate,Median household income
36,2285,2532,2313,1291,772,2063,0.8919152615650671,0.558149589277994,0.33376567228707305,60855117043,51.0,51.4,50.8,1062.0,5.0,2.0,629.0,3.0,19.0,124.0,129.0,1248.0,0.0,10.0,67.0,120.0,22.0,281.0,748.0,250000.0
37,2301,3636,3261,1957,945,2902,0.8899110702238577,0.6001226617601962,0.28978840846366144,60855105001,43.6,43.4,43.8,687.0,3.0,0.0,549.0,0.0,23.0,113.0,117.0,618.0,0.0,0.0,28.0,56.0,8.0,265.0,261.0,250000.0
38,2301,3636,3261,1957,945,2902,0.8899110702238577,0.6001226617601962,0.28978840846366144,60855105002,57.7,57.6,58.1,1238.0,22.0,5.0,489.0,2.0,20.0,153.0,164.0,1034.0,17.0,7.0,110.0,125.0,36.0,290.0,449.0,221818.0
39,2305,4846,4372,2706,1234,3940,0.9011893870082343,0.6189387008234217,0.2822506861848124,60855104001,36.8,36.7,37.0,812.0,24.0,2.0,813.0,1.0,33.0,189.0,195.0,1394.0,0.0,0.0,214.0,92.0,89.0,402.0,597.0,250000.0
40,2305,4846,4372,2706,1234,3940,0.9011893870082343,0.6189387008234217,0.2822506861848124,60855098011,36.0,33.5,39.5,925.0,22.0,19.0,598.0,1.0,246.0,185.0,192.0,957.0,0.0,31.0,98.0,84.0,55.0,306.0,383.0,122813.0
41,2305,4846,4372,2706,1234,3940,0.9011893870082343,0.6189387008234217,0.2822506861848124,60855098012,39.0,31.7,42.9,554.0,22.0,3.0,238.0,6.0,33.0,123.0,134.0,828.0,24.0,9.0,135.0,111.0,23.0,253.0,273.0,100000.0
42,2309,1231,1127,676,332,1008,0.8944099378881988,0.5998225377107365,0.29458740017746227,60855105003,49.2,49.5,49.1,1141.0,1.0,1.0,741.0,0.0,15.0,138.0,153.0,1266.0,0.0,36.0,16.0,83.0,27.0,406.0,698.0,250000.0
43,2314,2828,2591,1481,851,2332,0.9000385951370128,0.571593979158626,0.3284446159783867,60855102001,49.4,49.5,49.4,993.0,13.0,0.0,596.0,1.0,28.0,157.0,173.0,1125.0,13.0,14.0,93.0,158.0,88.0,341.0,418.0,240750.0
44,2317,2707,2469,1456,738,2194,0.888618874038072,0.5897124341838801,0.29890643985419196,60855100023,51.7,53.9,50.3,613.0,5.0,2.0,401.0,1.0,14.0,92.0,106.0,813.0,16.0,3.0,35.0,112.0,19.0,174.0,454.0,186103.0
45,2330,4245,3888,2284,1229,3513,0.9035493827160493,0.5874485596707819,0.3161008230452675,60855100015,54.0,44.9,55.7,533.0,1.0,0.0,290.0,0.0,2.0,74.0,74.0,431.0,0.0,0.0,28.0,51.0,88.0,88.0,176.0,236250.0
46,2330,4245,3888,2284,1229,3513,0.9035493827160493,0.5874485596707819,0.3161008230452675,60855100016,52.2,46.7,52.9,399.0,1.0,0.0,306.0,0.0,8.0,57.0,57.0,630.0,0.0,0.0,16.0,114.0,0.0,213.0,287.0,250000.0
47,2338,167,147,73,50,123,0.8367346938775511,0.4965986394557823,0.3401360544217687,60855078052,42.2,38.2,44.8,198.0,9.0,0.0,828.0,0.0,24.0,77.0,84.0,475.0,5.0,7.0,20.0,43.0,24.0,226.0,150.0,178977.0
48,2351,2398,2194,1282,698,1980,0.902461257976299,0.5843208751139471,0.31814038286235186,60855101001,51.1,54.2,47.1,827.0,14.0,5.0,536.0,4.0,22.0,124.0,130.0,1073.0,0.0,0.0,69.0,196.0,26.0,277.0,505.0,205938.0
49,2353,43,35,14,15,29,0.8285714285714286,0.4,0.42857142857142855,60855077031,,,,,,,,,,,,,,,,,,,,
50,2539,258,147,95,36,131,0.891156462585034,0.6462585034013606,0.24489795918367346,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
51,2542,2081,1541,953,435,1388,0.9007138221933809,0.618429591174562,0.28228423101881894,60855130001,22.4,21.8,22.7,865.0,110.0,1.0,395.0,24.0,68.0,186.0,193.0,795.0,0.0,0.0,162.0,223.0,24.0,341.0,45.0,
52,2545,2367,1975,1489,360,1849,0.9362025316455697,0.7539240506329113,0.18227848101265823,60855115004,,,,,,,,,,,,,,,,,,,,
53,2721,1433,1290,607,473,1080,0.8372093023255814,0.47054263565891474,0.36666666666666664,60855069003,53.6,53.4,53.9,1446.0,9.0,3.0,416.0,1.0,45.0,197.0,211.0,1447.0,0.0,20.0,99.0,219.0,88.0,601.0,420.0,200602.0
54,2723,3283,2971,1539,1035,2574,0.866374957926624,0.5180074049141703,0.3483675530124537,60855068014,45.4,46.5,45.1,530.0,5.0,3.0,203.0,0.0,10.0,71.0,78.0,569.0,7.0,13.0,38.0,29.0,39.0,284.0,159.0,236979.0
55,2723,3283,2971,1539,1035,2574,0.866374957926624,0.5180074049141703,0.3483675530124537,60855069004,48.6,37.8,50.6,1968.0,0.0,1.0,303.0,1.0,23.0,176.0,181.0,1743.0,0.0,37.0,308.0,152.0,115.0,503.0,628.0,172250.0
56,2723,3283,2971,1539,1035,2574,0.866374957926624,0.5180074049141703,0.3483675530124537,60855069003,53.6,53.4,53.9,1446.0,9.0,3.0,416.0,1.0,45.0,197.0,211.0,1447.0,0.0,20.0,99.0,219.0,88.0,601.0,420.0,200602.0
57,2724,2596,2330,1173,818,1991,0.8545064377682403,0.5034334763948498,0.35107296137339056,60855072031,39.4,36.8,41.2,843.0,6.0,6.0,329.0,0.0,73.0,167.0,172.0,1013.0,5.0,6.0,93.0,149.0,94.0,385.0,281.0,166250.0
58,2725,2504,2218,1131,738,1869,0.8426510369702435,0.5099188458070334,0.3327321911632101,60855072061,51.2,48.6,53.5,997.0,13.0,8.0,370.0,0.0,19.0,157.0,166.0,1066.0,0.0,17.0,81.0,180.0,55.0,391.0,342.0,250000.0
59,2726,1642,1431,692,521,1213,0.8476589797344515,0.4835779175401817,0.3640810621942697,60855072031,39.4,36.8,41.2,843.0,6.0,6.0,329.0,0.0,73.0,167.0,172.0,1013.0,5.0,6.0,93.0,149.0,94.0,385.0,281.0,166250.0
60,2727,1809,1667,847,583,1430,0.8578284343131374,0.5080983803239352,0.34973005398920215,60855069003,53.6,53.4,53.9,1446.0,9.0,3.0,416.0,1.0,45.0,197.0,211.0,1447.0,0.0,20.0,99.0,219.0,88.0,601.0,420.0,200602.0
61,2729,1933,1767,967,573,1540,0.8715336728919072,0.5472552348613469,0.3242784380305603,60855070012,,,,,,,,,,,,,,,,,,,,
62,2729,1933,1767,967,573,1540,0.8715336728919072,0.5472552348613469,0.3242784380305603,60855070022,56.0,63.1,49.8,832.0,3.0,2.0,127.0,0.0,23.0,94.0,108.0,1086.0,0.0,6.0,59.0,71.0,26.0,420.0,504.0,250000.0
63,2734,2730,2374,1231,809,2040,0.8593091828138163,0.5185341196293176,0.34077506318449874,60855070012,,,,,,,,,,,,,,,,,,,,
64,2734,2730,2374,1231,809,2040,0.8593091828138163,0.5185341196293176,0.34077506318449874,60855070011,,,,,,,,,,,,,,,,,,,,
65,2740,3015,2659,1350,956,2306,0.8672433245581046,0.5077096652877021,0.35953365927040243,60855072053,42.9,41.6,46.8,1011.0,4.0,3.0,367.0,0.0,63.0,165.0,176.0,840.0,22.0,14.0,108.0,112.0,61.0,236.0,287.0,140227.0
66,2740,3015,2659,1350,956,2306,0.8672433245581046,0.5077096652877021,0.35953365927040243,60855072051,42.8,38.5,45.2,394.0,10.0,0.0,193.0,4.0,20.0,68.0,72.0,377.0,0.0,2.0,62.0,46.0,41.0,117.0,109.0,181875.0
67,2751,25,17,7,9,16,0.9411764705882353,0.4117647058823529,0.5294117647058824,60855068012,53.6,54.0,53.5,996.0,27.0,8.0,427.0,4.0,43.0,197.0,212.0,1086.0,59.0,44.0,72.0,306.0,32.0,234.0,339.0,102353.0
68,2761,4,4,0,4,4,1.0,0.0,1.0,60855070012,,,,,,,,,,,,,,,,,,,,
