Block Group,Median household income
"Block Group 2, Census Tract 5029.06, Santa Clara County, California",113182
"Block Group 2, Census Tract 5029.08, Santa Clara County, California",148966
"Block Group 3, Census Tract 5029.08, Santa Clara County, California",123333
"Block Group 2, Census Tract 5029.09, Santa Clara County, California",116776
"Block Group 1, Census Tract 5068.02, Santa Clara County, California",183750
"Block Group 2, Census Tract 5068.02, Santa Clara County, California",167917
"Block Group 3, Census Tract 5068.02, Santa Clara County, California",166146
"Block Group 4, Census Tract 5068.02, Santa Clara County, California",102083
"Block Group 5, Census Tract 5068.02, Santa Clara County, California",152528
"Block Group 2, Census Tract 5068.03, Santa Clara County, California",179821
"Block Group 3, Census Tract 5068.03, Santa Clara County, California",159352
"Block Group 4, Census Tract 5068.03, Santa Clara County, California",241250
"Block Group 1, Census Tract 5119.07, Santa Clara County, California",191818
"Block Group 2, Census Tract 5119.07, Santa Clara County, California",215735
"Block Group 1, Census Tract 5119.10, Santa Clara County, California",158333
"Block Group 1, Census Tract 5119.11, Santa Clara County, California",104565
"Block Group 3, Census Tract 5119.11, Santa Clara County, California",202349
"Block Group 1, Census Tract 5119.13, Santa Clara County, California",128984
"Block Group 2, Census Tract 5119.13, Santa Clara County, California",215694
"Block Group 3, Census Tract 5119.13, Santa Clara County, California",250000
"Block Group 3, Census Tract 5119.14, Santa Clara County, California",205000
"Block Group 1, Census Tract 5119.15, Santa Clara County, California",146944
"Block Group 2, Census Tract 5119.15, Santa Clara County, California",88125
"Block Group 1, Census Tract 5119.16, Santa Clara County, California",99929
"Block Group 2, Census Tract 5119.16, Santa Clara County, California",183281
"Block Group 2, Census Tract 5120.24, Santa Clara County, California",131549
"Block Group 1, Census Tract 5120.27, Santa Clara County, California",49936
"Block Group 1, Census Tract 5120.52, Santa Clara County, California",93043
