County,Registered Voters,Ballots Cast,Voter Turnout
7252,3672,2930,0.7979
7255,3699,2974,0.804
7257,1653,1443,0.873
7261,2322,2021,0.8704
7264,2647,2257,0.8527
7271,3185,2782,0.8735
7273,3592,3216,0.8953
7282,2151,1840,0.8554
7294,778,653,0.8393
7295,2045,1744,0.8528
7298,1362,1209,0.8877
7299,1137,970,0.8531
7306,0,0,0
7401,0,1,0
7402,660,520,0.7879
7403,1650,1427,0.8648
7408,966,783,0.8106
7409,494,351,0.7105
7410,8,6,0.75
7411,58,27,0.4655
7414,392,338,0.8622
7415,53,46,0.8679
7416,250,170,0.68
7417,3477,2948,0.8479
7418,2233,1698,0.7604
7419,1353,1165,0.861
7430,3307,2579,0.7799
7435,3152,2394,0.7595
7436,4845,3724,0.7686
7438,419,339,0.8091
7440,72,48,0.6667
7441,2350,1858,0.7906
7442,356,260,0.7303
7447,3253,2022,0.6216
7458,2928,1865,0.637
7459,3365,2674,0.7947
7470,2646,2163,0.8175
7471,4273,3078,0.7203
7479,1875,1343,0.7163
7483,3183,2369,0.7443
7601,3927,3176,0.8088
7606,4352,3526,0.8102
7609,1044,817,0.7826
7615,1407,1076,0.7647
7619,2469,2036,0.8246
7620,3744,3150,0.8413
7621,4374,3654,0.8354
7624,3107,2620,0.8433
7632,3674,3104,0.8449
7634,2025,1768,0.8731
7648,3583,3006,0.839
7654,4833,3937,0.8146
7660,3885,3179,0.8183
7666,3876,3344,0.8627
7670,118,103,0.8729
7673,1,0,0
7674,3,0,0
7677,4292,3514,0.8187
7680,2456,2082,0.8477
7689,16,13,0.8125
7690,1264,1019,0.8062
7801,881,752,0.8536
7802,458,375,0.8188
7803,1204,988,0.8206
7805,2246,1819,0.8099
7810,309,245,0.7929
7811,230,183,0.7957
7812,1728,1420,0.8218
7816,288,244,0.8472
7817,12,9,0.75
7818,257,225,0.8755
7821,4767,3550,0.7447
7826,4223,3091,0.7319
7827,1536,1126,0.7331
7832,2704,2011,0.7437
7833,3385,2533,0.7483
7843,5001,3707,0.7413
7849,3380,2503,0.7405
7850,2424,1830,0.755
7851,1426,1198,0.8401
7861,2087,1578,0.7561
7867,3759,2862,0.7614
7874,507,377,0.7436
7880,5,7,1.4
8001,273,239,0.8755
8002,465,378,0.8129
8003,2865,2535,0.8848
8005,4023,3558,0.8844
8007,761,647,0.8502
8011,492,437,0.8882
8012,16,17,1.0625
8013,109,84,0.7706
8016,4535,3837,0.8461
8017,1925,1598,0.8301
8022,969,822,0.8483
8023,970,827,0.8526
8026,1174,864,0.7359
8028,382,296,0.7749
8029,170,134,0.7882
8030,1148,945,0.8232
8033,282,236,0.8369
8034,290,205,0.7069
8038,4,4,1
8040,630,515,0.8175
8047,2162,1882,0.8705
8049,59,44,0.7458
8050,1860,1453,0.7812
8053,2999,2540,0.8469
8054,2428,2114,0.8707
8055,339,278,0.8201
8062,3284,2627,0.7999
8066,1063,932,0.8768
8067,3081,2769,0.8987
8068,49,41,0.8367
8072,606,553,0.9125
8073,563,462,0.8206
8079,2822,2560,0.9072
8082,2118,1892,0.8933
8085,1419,1271,0.8957
8089,2970,2681,0.9027
8092,91,76,0.8352
8093,55,50,0.9091
8096,2762,2516,0.9109
8101,1515,1195,0.7888
8104,164,148,0.9024
8105,423,399,0.9433
8117,1915,1755,0.9164
8122,2730,2257,0.8267
8128,10,0,0
8133,20,15,0.75
8201,2933,2279,0.777
8203,3023,2206,0.7297
8205,3725,2828,0.7592
8208,3106,2224,0.716
8212,1552,1141,0.7352
8214,602,330,0.5482
8227,4001,2988,0.7468
8228,2382,2007,0.8426
8230,3764,3071,0.8159
8231,2526,1929,0.7637
8232,4524,3556,0.786
8236,4911,3794,0.7726
8246,2902,2271,0.7826
8254,3016,2179,0.7225
8262,2099,1719,0.819
8264,2143,1689,0.7881
8401,2543,1949,0.7664
8404,5049,3923,0.777
8408,1578,1306,0.8276
8409,1567,1286,0.8207
8414,469,404,0.8614
8418,538,463,0.8606
8421,49,44,0.898
8423,2,2,1
8430,3972,3233,0.8139
8435,4237,3660,0.8638
8438,4863,3945,0.8112
8439,3957,3190,0.8062
8445,2413,2138,0.886
8447,10,9,0.9
8456,4489,3895,0.8677
8457,4349,3806,0.8751
8464,4207,3491,0.8298
8470,4024,3600,0.8946
8472,3480,2990,0.8592
8486,4200,3743,0.8912
8492,4467,4069,0.9109
8502,258,229,0.8876
8601,586,502,0.8567
8603,2632,2347,0.8917
8605,3541,3076,0.8687
8609,0,2,0
8610,1728,1561,0.9034
8612,2526,2296,0.9089
8615,2336,2113,0.9045
8619,815,720,0.8834
8625,132,96,0.7273
8627,1434,1266,0.8828
8629,2148,1850,0.8613
8630,2906,2528,0.8699
8631,1689,1498,0.8869
8634,508,402,0.7913
8636,456,404,0.886
8645,3394,3046,0.8975
8648,3033,2654,0.875
8650,421,374,0.8884
8653,260,239,0.9192
8654,311,271,0.8714
8655,0,0,0
8657,766,655,0.8551
8658,3874,3374,0.8709
8670,2848,2203,0.7735
8675,1559,1328,0.8518
8676,3196,2640,0.826
8680,2189,1981,0.905
8683,3591,3226,0.8984
8687,3452,2989,0.8659
8697,3637,3133,0.8614
8801,2428,2008,0.827
8805,1963,1688,0.8599
8809,3399,2746,0.8079
8812,2026,1555,0.7675
8817,1041,919,0.8828
8820,2110,1882,0.8919
8822,2375,1962,0.8261
8828,803,689,0.858
8829,721,615,0.853
8832,2104,1897,0.9016
8834,1266,1012,0.7994
8838,300,258,0.86
8839,3405,2771,0.8138
8844,3471,3006,0.866
8848,1841,1573,0.8544
8853,2363,2040,0.8633
8857,1646,1517,0.9216
8858,2376,2167,0.912
8862,2560,2262,0.8836
8868,131,123,0.9389
8873,1045,936,0.8957
8874,21,19,0.9048
8879,3228,2921,0.9049
8883,3404,3104,0.9119
8885,3137,2858,0.9111
8886,357,330,0.9244
8889,2680,2458,0.9172
8898,2737,2497,0.9123
8903,3460,3108,0.8983
8915,19,18,0.9474
8916,15,15,1
8920,2,1,0.5
8923,4,3,0.75
8924,17,14,0.8235
9001,3165,2647,0.8363
9005,4703,4012,0.8531
9051,1991,1612,0.8096
9055,67,60,0.8955
9056,3199,2685,0.8393
9059,2765,2241,0.8105
9061,0,0,0
9062,2525,2167,0.8582
9101,3389,2812,0.8297
9103,995,826,0.8302
9104,2986,2552,0.8547
9109,1982,1639,0.8269
9151,2951,2453,0.8312
9157,3619,2978,0.8229
9163,1454,1269,0.8728
9166,1445,1267,0.8768
9201,891,769,0.8631
9203,1773,1540,0.8686
9208,1660,1275,0.7681
9210,2215,1914,0.8641
9219,231,188,0.8139
9220,2840,2400,0.8451
9251,1343,1223,0.9106
9252,2146,1842,0.8583
9258,1901,1623,0.8538
9262,267,227,0.8502
9264,1999,1785,0.8929
9268,2037,1799,0.8832
9275,2049,1673,0.8165
9282,5,8,1.6
Total:,1019309,863964,0.8476
