Block Group,Total educated number,Less than 9th,9th to 12th,High school,College no degree,Associate,Bachelor,Graduate
"Block Group 1, Census Tract 5076, Santa Clara County, California",739,0,31,52,20,51,211,374
"Block Group 2, Census Tract 5076, Santa Clara County, California",556,0,0,26,55,36,224,215
"Block Group 3, Census Tract 5076, Santa Clara County, California",1277,0,18,73,130,92,429,535
"Block Group 4, Census Tract 5076, Santa Clara County, California",1506,0,31,38,116,36,550,735
"Block Group 1, Census Tract 5094.01, Santa Clara County, California",971,0,10,152,175,41,262,331
"Block Group 2, Census Tract 5097, Santa Clara County, California",441,0,0,25,86,0,146,184
"Block Group 3, Census Tract 5097, Santa Clara County, California",716,0,6,57,142,46,231,234
"Block Group 4, Census Tract 5098.01, Santa Clara County, California",1055,0,0,29,130,47,377,472
"Block Group 1, Census Tract 5098.02, Santa Clara County, California",795,0,0,84,109,62,217,323
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",1611,15,9,227,139,35,523,663
"Block Group 1, Census Tract 5118, Santa Clara County, California",1686,0,22,372,330,102,360,500
"Block Group 3, Census Tract 5118, Santa Clara County, California",858,0,6,140,140,83,203,286
"Block Group 1, Census Tract 5119.11, Santa Clara County, California",1488,0,21,289,232,77,609,260
"Block Group 2, Census Tract 5119.11, Santa Clara County, California",772,28,49,116,245,62,168,104
"Block Group 3, Census Tract 5119.11, Santa Clara County, California",1469,19,6,190,203,71,598,382
"Block Group 1, Census Tract 5121, Santa Clara County, California",957,49,16,250,252,62,231,97
"Block Group 4, Census Tract 5005, Santa Clara County, California",552,0,0,65,51,41,230,165
"Block Group 5, Census Tract 5005, Santa Clara County, California",961,8,69,169,125,21,250,319
"Block Group 1, Census Tract 5020.01, Santa Clara County, California",834,112,54,228,84,159,130,67
"Block Group 2, Census Tract 5020.01, Santa Clara County, California",723,56,37,91,178,1,258,102
"Block Group 3, Census Tract 5020.01, Santa Clara County, California",845,8,5,179,229,78,232,114
"Block Group 1, Census Tract 5020.02, Santa Clara County, California",537,0,59,220,81,71,27,79
"Block Group 3, Census Tract 5020.02, Santa Clara County, California",1615,151,60,313,384,110,402,195
"Block Group 1, Census Tract 5021.01, Santa Clara County, California",1206,12,33,63,104,121,628,245
"Block Group 2, Census Tract 5023.02, Santa Clara County, California",1404,88,26,89,567,100,238,296
"Block Group 1, Census Tract 5026.04, Santa Clara County, California",938,0,22,222,48,189,270,187
"Block Group 1, Census Tract 5027.01, Santa Clara County, California",1155,9,53,147,243,35,394,274
"Block Group 3, Census Tract 5027.01, Santa Clara County, California",1126,33,26,184,253,110,291,229
"Block Group 1, Census Tract 5028, Santa Clara County, California",827,26,9,190,159,41,264,138
"Block Group 2, Census Tract 5028, Santa Clara County, California",1493,59,39,262,385,221,184,343
"Block Group 3, Census Tract 5028, Santa Clara County, California",773,0,29,168,105,15,286,170
"Block Group 2, Census Tract 5029.01, Santa Clara County, California",1088,0,12,124,310,117,361,164
"Block Group 3, Census Tract 5029.01, Santa Clara County, California",369,0,18,14,60,17,141,119
"Block Group 4, Census Tract 5029.01, Santa Clara County, California",1076,0,83,189,208,139,321,136
"Block Group 1, Census Tract 5029.02, Santa Clara County, California",1704,0,56,272,123,96,550,607
"Block Group 2, Census Tract 5029.02, Santa Clara County, California",1805,24,16,90,361,63,643,608
"Block Group 3, Census Tract 5029.02, Santa Clara County, California",2549,100,0,524,648,259,696,322
"Block Group 2, Census Tract 5029.06, Santa Clara County, California",975,28,18,159,205,83,250,232
"Block Group 2, Census Tract 5029.08, Santa Clara County, California",1729,18,35,503,398,139,342,294
"Block Group 3, Census Tract 5029.08, Santa Clara County, California",1344,5,18,217,304,170,384,246
"Block Group 2, Census Tract 5029.09, Santa Clara County, California",559,2,0,80,123,64,191,99
"Block Group 3, Census Tract 5030.03, Santa Clara County, California",1188,12,40,176,366,64,305,225
"Block Group 3, Census Tract 5058, Santa Clara County, California",625,0,20,68,159,76,159,143
"Block Group 4, Census Tract 5058, Santa Clara County, California",1094,0,10,171,314,27,273,299
"Block Group 2, Census Tract 5062.02, Santa Clara County, California",1409,64,0,314,71,117,497,346
"Block Group 3, Census Tract 5062.02, Santa Clara County, California",734,60,25,207,166,41,122,113
"Block Group 1, Census Tract 5062.03, Santa Clara County, California",911,0,175,132,263,52,168,121
"Block Group 2, Census Tract 5062.03, Santa Clara County, California",309,0,0,0,45,33,176,55
